Spoiler File -- Basic Items (PosChengband 4.0.0)


Description                                         Dam/AC    Wgt  Lev     Cost
----------------------------------------            ------    ---  ---     ----


Ammo

     a Rounded Pebble                                  1d2    0.4    0        1
     an Arrow                                          1d4    0.2    3        1
     a Flight Arrow                                    1d3    0.1    3        1
     an Iron Shot                                      1d3    0.5    3        2
     a Bolt                                            1d5    0.3    3        2
     a Sheaf Arrow                                     2d4    0.4   10        3
     a Steel Bolt                                      3d5    0.4   10       10
     a Mithril Shot                                    4d3    0.5   25       15
     a Seeker Arrow                                    6d4    0.2   55       20
     a Seeker Bolt                                     6d5    0.3   65       25


Bows

     a Sling                                                  0.5    5       24
     a Short Bow                                              3.0   10       54
     a Long Bow                                               4.0   30      121
     a Light Crossbow                                        11.0   15      216
     a Heavy Crossbow                                        20.0   30      384
     a Harp                                                   4.0   25     1195


Weapons

     a Rune Sword                                      0d0   15.0   70        1
     a Broken Dagger                                   1d1    0.5    0        3
     a Dagger                                          1d4    1.2    0       14
     a Broken Sword                                    1d2    3.0    0       23
     a Tanto                                           1d5    2.0    3       24
     a Main Gauche                                     1d5    3.0    3       32
     a Whip                                            1d6    3.0    3       38
     a Falcon Sword                                    1d6    3.0   65       38
     a Shovel                                          1d2    6.0    1       45
     a Rapier                                          1d6    4.0    5       45
     a Gnomish Shovel                                  1d2    6.0   20       45
     a Dragon Fang                                     1d8    2.0   40       48
     a Sabre                                           1d7    5.0    5       61
     a Nunchaku                                        2d3    6.0   16       69
     a Small Sword                                     1d6    7.5    5       72
     a Jo Staff                                        1d7    7.0   11       76
     a Short Sword                                     1d7    8.0    5       84
     a Basillard                                       1d8    8.0   15       93
     a Spear                                           1d6    5.0    5      109
     a Hatchet                                         1d5    6.0   10      111
     a Wakizashi                                       2d4    9.0   15      114
     a Sickle                                          2d3    7.0   10      132
     a Club                                            1d4   10.0    0      136
     a Trident                                         1d8    7.0    5      142
     a Dwarven Shovel                                  1d3   12.0   40      149
     a Cutlass                                         1d7   11.0    5      162
     a Pick                                            1d3   15.0    5      171
     an Orcish Pick                                    1d3   15.0   30      171
     a Tulwar                                          2d4   10.0    5      177
     a Broad Spear                                     1d9   10.0   14      177
     a Ninjato                                         1d9   10.0   15      177
     a Mace                                            2d4   12.0    5      192
     a Khopesh                                         2d4   13.0   10      200
     an Awl-Pike                                       1d8   16.0   10      210
     a Dwarven Pick                                    1d4   20.0   50      211
     a Quarterstaff                                    1d9   15.0   10      215
     a Ball-and-Chain                                  2d4   15.0   20      215
     a War Hammer                                      3d3   12.0    5      227
     a Lucerne Hammer                                  2d5   12.0   10      227
     a Three Piece Rod                                 3d3   12.0   20      227
     a Scimitar                                        2d5   13.0   10      234
     a Long Sword                                      2d5   13.0   10      234
     a Fauchard                                       1d10   15.5   18      234
     a Broad Sword                                     2d5   15.0   10      249
     a Pike                                            2d5   16.0   15      257
     a Bo Staff                                       1d11   16.0   20      257
     a Guisarme                                        2d5   16.5   21      261
     a Beaked Axe                                      2d6   12.0   15      274
     a Mattock                                         1d8   25.0   50      277
     a Broad Axe                                       2d6   13.0   15      282
     a Flail                                           2d6   15.0   10      297
     a Morning Star                                    2d6   15.0   10      297
